iter	RMSE
0	80767.96079
1	77395.54066
2	74147.8103
3	71173.12039
4	68431.02736
5	65973.03447
6	63658.15695
7	61624.85372
8	59718.93502
9	57976.19908
10	56421.28901
11	54992.58003
12	53655.27984
13	52478.42113
14	51342.17545
15	50310.49655
16	49455.16176
17	48593.37321
18	47728.52861
19	46973.68948
20	46285.34228
21	45674.5565
22	45055.60931
23	44478.29002
24	43804.5646
25	43255.50776
26	42771.55843
27	42329.71423
28	41807.54674
29	41371.85371
30	40857.12652
31	40541.61493
32	40222.43249
33	39884.60843
34	39557.85539
35	39261.0951
36	38978.9425
37	38566.85494
38	38274.93897
39	38060.39501
40	37818.67992
41	37530.07869
42	37282.52885
43	37019.04783
44	36750.38377
45	36482.22163
46	36218.87654
47	36017.72278
48	35730.51287
49	35548.67796
50	35314.07246
51	35100.68273
52	34897.93573
53	34741.43343
54	34581.52279
55	34446.94956
56	34251.2572
57	34086.59877
58	33969.4877
59	33836.8937
60	33692.17408
61	33564.65445
62	33430.11548
63	33293.03194
64	33187.50093
65	33032.36973
66	32882.12848
67	32739.71965
68	32609.31842
69	32491.96931
70	32373.10026
71	32262.43645
72	32131.3224
73	31982.08602
74	31840.82138
75	31720.28738
76	31595.34796
77	31508.08647
78	31430.91336
79	31361.73299
80	31275.04015
81	31166.72077
82	31039.36965
83	30964.35134
84	30896.08539
85	30825.94807
86	30692.93424
87	30614.94887
88	30537.16609
89	30482.35394
90	30398.67313
91	30272.17898
92	30187.81836
93	30093.84261
94	30032.88695
95	29955.23303
96	29901.91432
97	29842.96129
98	29778.26021
99	29708.51766
100	29626.63262
101	29528.49095
102	29448.97831
103	29357.92219
104	29273.94031
105	29212.59786
106	29131.8186
107	29051.64748
108	28994.79475
109	28949.59533
110	28902.30648
111	28838.72779
112	28780.34818
113	28718.93396
114	28649.85816
115	28599.35957
116	28553.75792
117	28513.17184
118	28400.86757
119	28345.63818
120	28281.54744
121	28187.56684
122	28129.2411
123	28027.29695
124	27996.47289
125	27918.22921
126	27864.95575
127	27794.1893
128	27742.62237
129	27673.33117
130	27637.36733
131	27581.98119
132	27531.65543
133	27480.76672
134	27416.32598
135	27372.86362
136	27324.98948
137	27265.83656
138	27218.17905
139	27167.36702
140	27123.36697
141	27075.03203
142	27004.67437
143	26937.36821
144	26899.38626
145	26861.41368
146	26807.44705
147	26766.29954
148	26706.55613
149	26671.0248
150	26615.0572
151	26575.5276
152	26518.85927
153	26472.57607
154	26426.0174
155	26384.75896
156	26334.7851
157	26281.24246
158	26227.02232
159	26187.51838
160	26147.78633
161	26106.66193
162	26030.25293
163	25991.75756
164	25958.56504
165	25922.4065
166	25885.91675
167	25835.80738
168	25805.89788
169	25768.79096
170	25667.36334
171	25617.46643
172	25566.28224
173	25533.98227
174	25496.52724
175	25427.83819
176	25380.01568
177	25315.11219
178	25277.54211
179	25253.11171
180	25215.35351
181	25176.42725
182	25123.1541
183	25091.76599
184	25050.70272
185	24969.15189
186	24938.57625
187	24891.94306
188	24861.21448
189	24820.52922
190	24793.09567
191	24764.49283
192	24728.2567
193	24701.8359
194	24663.12754
195	24613.69515
196	24574.13127
197	24520.10832
198	24482.90328
199	24447.9869
200	24387.56784
201	24363.28337
202	24336.18017
203	24298.20681
204	24261.35271
205	24237.33794
206	24176.31543
207	24128.78703
208	24099.07791
209	24063.45773
210	24030.45149
211	23997.64975
212	23960.19169
